Match ID,Player,Champion,Individual Position,Role,Lane,Team Position
NA1_5389135295,0,Urgot,TOP,SOLO,TOP,TOP
NA1_5389135295,1,Zed,JUNGLE,NONE,JUNGLE,JUNGLE
NA1_5389135295,2,Sylas,MIDDLE,DUO,MIDDLE,MIDDLE
NA1_5389135295,3,Jhin,BOTTOM,DUO,MIDDLE,BOTTOM
NA1_5389135295,4,Nautilus,UTILITY,SUPPORT,MIDDLE,UTILITY
NA1_5389135295,5,Riven,TOP,SOLO,TOP,TOP
NA1_5389135295,6,Udyr,JUNGLE,NONE,JUNGLE,JUNGLE
NA1_5389135295,7,Jayce,MIDDLE,SOLO,MIDDLE,MIDDLE
NA1_5389135295,8,Corki,BOTTOM,CARRY,BOTTOM,BOTTOM
NA1_5389135295,9,Karma,UTILITY,SUPPORT,BOTTOM,UTILITY
NA1_5389028075,0,Fiora,TOP,SOLO,TOP,TOP
NA1_5389028075,1,Zed,JUNGLE,NONE,JUNGLE,JUNGLE
NA1_5389028075,2,Riven,MIDDLE,SOLO,MIDDLE,MIDDLE
NA1_5389028075,3,Syndra,BOTTOM,CARRY,BOTTOM,BOTTOM
NA1_5389028075,4,KogMaw,UTILITY,SUPPORT,BOTTOM,UTILITY
NA1_5389028075,5,Gragas,TOP,DUO,TOP,TOP
NA1_5389028075,6,JarvanIV,JUNGLE,NONE,JUNGLE,JUNGLE
NA1_5389028075,7,Akali,MIDDLE,DUO,TOP,MIDDLE
NA1_5389028075,8,Corki,BOTTOM,CARRY,BOTTOM,BOTTOM
NA1_5389028075,9,Poppy,UTILITY,SUPPORT,BOTTOM,UTILITY
NA1_5388973431,0,Darius,TOP,DUO,TOP,TOP
NA1_5388973431,1,Nidalee,JUNGLE,NONE,JUNGLE,JUNGLE
NA1_5388973431,2,Jayce,MIDDLE,CARRY,MIDDLE,MIDDLE
NA1_5388973431,3,Riven,BOTTOM,DUO,TOP,BOTTOM
NA1_5388973431,4,Nautilus,UTILITY,SUPPORT,MIDDLE,UTILITY
NA1_5388973431,5,Yorick,TOP,DUO,TOP,TOP
NA1_5388973431,6,Viego,JUNGLE,NONE,JUNGLE,JUNGLE
NA1_5388973431,7,Ahri,MIDDLE,DUO,TOP,MIDDLE
NA1_5388973431,8,Jhin,BOTTOM,CARRY,BOTTOM,BOTTOM
NA1_5388973431,9,Bard,UTILITY,SUPPORT,BOTTOM,UTILITY
NA1_5388925998,0,Urgot,TOP,SOLO,TOP,TOP
NA1_5388925998,1,Taliyah,JUNGLE,NONE,JUNGLE,JUNGLE
NA1_5388925998,2,Corki,MIDDLE,CARRY,MIDDLE,MIDDLE
NA1_5388925998,3,Jhin,BOTTOM,SOLO,BOTTOM,BOTTOM
NA1_5388925998,4,Blitzcrank,UTILITY,SUPPORT,MIDDLE,UTILITY
NA1_5388925998,5,Kled,TOP,DUO,TOP,TOP
NA1_5388925998,6,Rengar,JUNGLE,NONE,JUNGLE,JUNGLE
NA1_5388925998,7,Vladimir,MIDDLE,SOLO,MIDDLE,MIDDLE
NA1_5388925998,8,Zyra,BOTTOM,DUO,TOP,BOTTOM
NA1_5388925998,9,DrMundo,UTILITY,SOLO,BOTTOM,UTILITY
NA1_5388898850,0,Rumble,TOP,SUPPORT,NONE,TOP
NA1_5388898850,1,Volibear,JUNGLE,SUPPORT,NONE,JUNGLE
NA1_5388898850,2,Syndra,MIDDLE,SUPPORT,NONE,MIDDLE
NA1_5388898850,3,Senna,BOTTOM,SUPPORT,NONE,BOTTOM
NA1_5388898850,4,DrMundo,UTILITY,SUPPORT,NONE,UTILITY
NA1_5388898850,5,Ambessa,TOP,SUPPORT,NONE,TOP
NA1_5388898850,6,JarvanIV,JUNGLE,SUPPORT,NONE,JUNGLE
NA1_5388898850,7,Sylas,MIDDLE,SUPPORT,NONE,MIDDLE
NA1_5388898850,8,Smolder,BOTTOM,SUPPORT,NONE,BOTTOM
NA1_5388898850,9,Soraka,UTILITY,SUPPORT,NONE,UTILITY
NA1_5388861030,0,Rumble,TOP,DUO,TOP,TOP
NA1_5388861030,1,XinZhao,JUNGLE,SOLO,BOTTOM,JUNGLE
NA1_5388861030,2,Syndra,MIDDLE,CARRY,MIDDLE,MIDDLE
NA1_5388861030,3,Sivir,BOTTOM,DUO,TOP,BOTTOM
NA1_5388861030,4,Nidalee,UTILITY,SUPPORT,MIDDLE,UTILITY
NA1_5388861030,5,Yorick,TOP,SOLO,TOP,TOP
NA1_5388861030,6,Sylas,JUNGLE,NONE,JUNGLE,JUNGLE
NA1_5388861030,7,Yone,MIDDLE,SOLO,MIDDLE,MIDDLE
NA1_5388861030,8,Kaisa,BOTTOM,NONE,JUNGLE,BOTTOM
NA1_5388861030,9,Nami,UTILITY,SOLO,BOTTOM,UTILITY
NA1_5388526543,0,Chogath,TOP,SOLO,TOP,TOP
NA1_5388526543,1,Kindred,JUNGLE,NONE,JUNGLE,JUNGLE
NA1_5388526543,2,Ahri,MIDDLE,DUO,MIDDLE,MIDDLE
NA1_5388526543,3,Corki,BOTTOM,DUO,MIDDLE,BOTTOM
NA1_5388526543,4,Blitzcrank,UTILITY,SUPPORT,MIDDLE,UTILITY
NA1_5388526543,5,Fiora,TOP,NONE,JUNGLE,TOP
NA1_5388526543,6,Zyra,JUNGLE,NONE,JUNGLE,JUNGLE
NA1_5388526543,7,Diana,MIDDLE,SOLO,MIDDLE,MIDDLE
NA1_5388526543,8,Smolder,BOTTOM,CARRY,BOTTOM,BOTTOM
NA1_5388526543,9,Kennen,UTILITY,SUPPORT,BOTTOM,UTILITY
NA1_5388508171,0,DrMundo,TOP,DUO,MIDDLE,TOP
NA1_5388508171,1,Talon,JUNGLE,NONE,JUNGLE,JUNGLE
NA1_5388508171,2,Galio,MIDDLE,DUO,MIDDLE,MIDDLE
NA1_5388508171,3,Lucian,BOTTOM,CARRY,BOTTOM,BOTTOM
NA1_5388508171,4,Sona,UTILITY,SUPPORT,BOTTOM,UTILITY
NA1_5388508171,5,Jax,TOP,SOLO,TOP,TOP
NA1_5388508171,6,Diana,JUNGLE,NONE,JUNGLE,JUNGLE
